domain,slot_a,slot_b,active_model_id_a,active_model_id_b,prediction_agreement,probability_correlation,binary_predictions_identical,metric_max_abs_delta,threshold_abs_delta,feature_jaccard,shared_error_overlap,real_clone_flag,near_clone_warning,real_clone_reasons,near_clone_reasons,same_confusion_matrix,artifact_hash_equal,artifact_path_equal,warning_resolution,resolution_detail
adhd,adhd/caregiver_1_3,adhd/caregiver_2_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.975,0.9459801240321307,no,0.029085783842654922,0.16000000000000003,0.3815789473684211,0.7551020408163265,no,yes,,shared_error_overlap_ge_0_75,no,no,no,acceptable_similarity,high_similarity_explained:shared_error_overlap_ge_0_75
adhd,adhd/caregiver_1_3,adhd/caregiver_full,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.9833333333333333,0.9577560376895179,no,0.015008264462810006,0.06665347181982456,0.390625,0.8260869565217391,no,yes,,prediction_agreement_ge_0_98|shared_error_overlap_ge_0_75,no,no,no,acceptable_similarity,high_similarity_explained:prediction_agreement_ge_0_98|shared_error_overlap_ge_0_75
adhd,adhd/caregiver_2_3,adhd/caregiver_full,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.9833333333333333,0.9624100572751578,no,0.014077519379844916,0.09334652818017547,0.38636363636363635,0.8333333333333334,no,yes,,prediction_agreement_ge_0_98|shared_error_overlap_ge_0_75,no,no,no,acceptable_similarity,high_similarity_explained:prediction_agreement_ge_0_98|shared_error_overlap_ge_0_75
adhd,adhd/psychologist_1_3,adhd/psychologist_2_3,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.9125,0.8387460277127715,no,0.1428571428571429,0.27,0.0891089108910891,0.288135593220339,no,no,,,no,no,no,not_flagged,no_near_warning
adhd,adhd/psychologist_1_3,adhd/psychologist_full,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.96875,0.9419553703676128,no,0.03221288515406162,0.050000000000000044,0.3333333333333333,0.7058823529411765,no,no,,,no,no,no,not_flagged,no_near_warning
adhd,adhd/psychologist_2_3,adhd/psychologist_full,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.93125,0.8006555899144816,no,0.11064425770308128,0.32000000000000006,0.2549019607843137,0.36538461538461536,no,no,,,no,no,no,not_flagged,no_near_warning
anxiety,anxiety/caregiver_1_3,anxiety/caregiver_2_3,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.9666666666666667,0.8107571733188241,no,0.06976744186046513,0.26097211853301533,0.23157894736842105,0.5151515151515151,no,no,,,no,no,no,not_flagged,no_near_warning
anxiety,anxiety/caregiver_1_3,anxiety/caregiver_full,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.9666666666666667,0.7992840549524766,no,0.08139534883720934,0.23999999999999994,0.362962962962963,0.5428571428571428,no,no,,,no,no,no,not_flagged,no_near_warning
anxiety,anxiety/caregiver_2_3,anxiety/caregiver_full,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.9791666666666666,0.9458772741647432,no,0.03189227498228209,0.020972118533015394,0.46825396825396826,0.7058823529411765,no,no,,,no,no,no,not_flagged,no_near_warning
anxiety,anxiety/psychologist_1_3,anxiety/psychologist_2_3,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.9541666666666667,0.8751726156545292,no,0.011627906976744207,0.005829091021083532,0.23333333333333334,0.4358974358974359,no,yes,,threshold_almost_equal,no,no,no,acceptable_similarity,high_similarity_explained:threshold_almost_equal
